metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
balanced_accuracy,mean,4,0.13066963758207992,-0.000927567056599358,0.04389527523168071,0.009105180533751915,0.3021530696645904,0.19909353319491568,0.05764082307861105,0.0,0.00013082155939297957,0.0
balanced_accuracy,std,4,0.024859273514384685,0.010672897142478408,0.029683812905025957,0.0015112013687277606,0.04933391504128832,0.021364571888685346,0.029688614618115214,0.0,0.0002925258997252285,0.0
accuracy,mean,5,0.0038988860325621265,0.001156812339331631,-0.002313624678663227,-0.014695801199657233,0.045801199657240804,0.022579263067694956,0.02039417309340189,-0.0004284490145672615,-0.0026992287917737647,0.0011996572407883543
accuracy,std,5,0.0022382104347230436,0.0009589986840445421,0.0029197472214911365,0.005327432286319084,0.008870964162078714,0.0069984231782810715,0.0046549363686516085,0.0014210046231171365,0.0011662945663081493,0.0014440702267654486
f1,mean,5,0.0007866189781313773,0.00023461111665706117,-0.0004753338737502578,-0.003073075205869476,0.06283590366313024,0.004416690400176019,0.00925992845997719,-8.78982877184159e-05,-0.0005520342691918404,0.00024291237665728752
f1,std,5,0.00044890577992666143,0.000194329666336134,0.000598540368726063,0.0011381870707257474,0.011415633344456985,0.0013291320281073394,0.0047483561220354326,0.00028974796524362166,0.00023929059109849285,0.00029237997279070953
average_precision,mean,5,0.09461231747656002,-0.00012890323188657164,0.010601741138561271,0.008610967530886313,0.4605658268018641,0.3545247279033682,0.0730142098649361,0.004141786423242035,-0.002626643830717995,0.00490647802401785
average_precision,std,5,0.0514897077770892,0.00424060737262906,0.01777937756700006,0.03310234852406321,0.002689681471974294,0.03365111960208655,0.02857518423759434,0.005391394271953664,0.004897143328669183,0.007311160368126269
balanced_accuracy,mean,5,0.0020276292335116297,0.0006016042780748928,-0.0012032085561496746,-0.007642602495543634,0.2616592394533572,0.011742424242424283,0.03407011289364235,-0.0002228163992869514,-0.0014037433155079549,0.0006238859180035972
balanced_accuracy,std,5,0.0011639891164535628,0.0004987305990552501,0.0015184246913904353,0.0027705496783130023,0.048086198405467004,0.003639554299934948,0.020356415620584985,0.0007389983935729307,0.0006065355431736317,0.0007509937409248073
accuracy,mean,6,-0.010980392156862712,-0.011148459383753478,-0.017310924369747866,-0.03120448179271706,-0.05697478991596636,-0.03305322128851537,-0.052492997198879544,-0.0036414565826330403,-0.0006722689075630228,0.0
accuracy,std,6,0.004668384684817852,0.008531055942130713,0.004428605977360603,0.006177978943981438,0.011791486126430065,0.011285421933665442,0.005326844438999356,0.001444683132574519,0.0009307141583101452,0.0
f1,mean,6,0.0005549682105202643,0.007108838000930124,-0.0035995642495439423,-0.006598046861071059,0.02221614028622027,0.04144347827886953,-0.0070727870166110585,-0.0007446100982679347,-0.00013710610716288762,0.0
f1,std,6,0.0017495246952022449,0.004008742787549642,0.0009424819800307537,0.0013560154730766947,0.010692792901400025,0.0048136523066276025,0.003696348036943889,0.00029630540123024577,0.00018988219002306396,0.0
average_precision,mean,6,0.09675023530385855,0.03707765319755652,-0.021344582854642646,0.0011866294314368633,0.04897346416867225,0.16990983389396627,-0.04890713171637544,-0.0022030477853488255,0.0003061653832699666,7.445534293230397e-06
average_precision,std,6,0.014648290908179316,0.04628777452159256,0.010810603503778736,0.014185575582877245,0.027291828490516534,0.012974168005037605,0.01854929280317126,0.003287616617708,0.00040875218395914834,2.1169413355240028e-05
balanced_accuracy,mean,6,0.0029023569023569544,0.023215488215488248,-0.009363636363636319,-0.01687878787878784,0.06916161616161617,0.12290909090909094,-0.01547138047138045,-0.0019696969696969546,-0.00036363636363634746,0.0
balanced_accuracy,std,6,0.005073545648219722,0.011931571592295133,0.0023954732332086962,0.0033417249742445096,0.029386407796241864,0.013686959384444858,0.010714122680334573,0.0007814422398925832,0.0005034317492677453,0.0
accuracy,mean,7,0.05887135341941654,-0.0024868483978957652,0.08550932568149208,0.019942611190817767,0.13242467718794834,0.17412721186035396,0.046197991391678614,-0.009516977522716415,-0.0003825920612147519,-0.0002391200382592107
